ease5_序号,ease5_行号,ease5_列号,ease5_x,ease5_y,ease5_z,self_序号,self_行号,self_列号,self_x,self_y,self_z,ease5_spl,self_spl,delta_db(self-ease5),match_dist_xyz
98,5,18,2.99,6.89,1.2,98,5,18,3.0,6.9,1.2,90.53,90.18,-0.3499999999999943,0.014142135623731277
99,5,19,3.39,6.89,1.2,99,5,19,3.42,6.9,1.2,90.03,89.79,-0.23999999999999488,0.03162277660168382
100,5,20,3.8,6.89,1.2,100,5,20,3.81,6.9,1.2,88.92999999999999,88.87,-0.05999999999998806,0.01414213562373159
101,6,1,-3.84,5.65,1.2,101,6,1,-3.85,5.66,1.2,81.33,83.68,2.3500000000000085,0.014142135623730963
102,6,2,-3.44,5.65,1.2,102,6,2,-3.46,5.66,1.2,83.23,85.2,1.9699999999999989,0.022360679774997817
103,6,3,-3.04,5.65,1.2,103,6,3,-3.04,5.66,1.2,85.03,86.41,1.3799999999999955,0.009999999999999787
104,6,4,-2.64,5.65,1.2,104,6,4,-2.65,5.66,1.2,87.13,87.94,0.8100000000000023,0.014142135623730649
105,6,5,-2.24,5.65,1.2,105,6,5,-2.23,5.66,1.2,89.03,89.93,0.9000000000000057,0.014142135623730963
106,6,6,-1.84,5.65,1.2,106,6,6,-1.84,5.66,1.2,91.03,91.024,-0.006000000000000227,0.009999999999999787
107,6,7,-1.44,5.65,1.2,107,6,7,-1.44,5.66,1.2,92.33,91.89,-0.4399999999999977,0.009999999999999787
108,6,8,-1.04,5.65,1.2,108,6,8,-1.03,5.66,1.2,92.53,91.98,-0.5499999999999972,0.014142135623730807
109,6,9,-0.63,5.65,1.2,109,6,9,-0.63,5.66,1.2,91.83,91.55,-0.28000000000000114,0.009999999999999787
110,6,10,-0.23,5.65,1.2,110,6,10,-0.22,5.66,1.2,90.53,90.31,-0.21999999999999886,0.014142135623730807
111,6,11,0.19,5.65,1.2,111,6,11,0.18,5.66,1.2,88.73,89.29,0.5600000000000023,0.014142135623730807
112,6,12,0.59,5.65,1.2,112,6,12,0.59,5.66,1.2,87.73,88.89,1.1599999999999966,0.009999999999999787
113,6,13,0.99,5.65,1.2,113,6,13,0.99,5.66,1.2,87.42999999999999,88.68,1.2500000000000142,0.009999999999999787
114,6,14,1.39,5.65,1.2,114,6,14,1.4,5.66,1.2,88.13,89.18,1.0500000000000114,0.014142135623730807
115,6,15,1.79,5.65,1.2,115,6,15,1.8,5.66,1.2,89.42999999999999,90.19,0.7600000000000051,0.014142135623730807
116,6,16,2.19,5.65,1.2,116,6,16,2.19,5.66,1.2,91.23,91.05,-0.18000000000000682,0.009999999999999787
